普通の言い方,尊敬語,謙譲語,丁寧語
する,なさる,いたす,します
いる,いらっしゃる,おる,います
行く,いらっしゃる,参る,行きます
来る,お越しになる,伺う,来ます
訪ねてくる,いらっしゃる,伺う,訪ねてきます
訪ねてくる,いらっしゃる,上がる,訪ねてきます
訪ねてくる,いらっしゃる,参上する,訪ねてきます
訪ねてくる,いらっしゃる,お邪魔する,訪ねてきます
訪ねてくる,いらっしゃる,お伺いする,訪ねてきます
見る,ご覧になる,拝見する,見ます
見る,ご覧くださる,拝見する,見ます
見る,ご覧になる,見せていただく,見ます
見る,ご覧くださる,見せていただく,見ます
見せる,―,ご覧に入れる,見せます
見せる,―,お目にかかる,見せます
聞く,お耳に入る,伺う,聞きます
聞く,お耳に入る,拝聴する,聞きます
聞かせる,―,お耳に入れる,聞かせます
言う,おっしゃる,申し上げる,言います
言う,おっしゃる,申す,言います
言う,仰せになる,申し上げる,言います
言う,仰せになる,申す,言います
思う,思し召す,存ずる,思います
思う,お思いになる,存ずる,思います
知る,ご存じ,存じ上げる,知っています
くれる,くださる,"",くれます
あげる,賜る,差し上げる,あげます
あげる,くださる,差し上げる,あげます
もらう,お受けになる,頂戴する,もらいます
もらう,お受けになる,いただく,もらいます
もらう,お受けになる,賜る,もらいます
もらう,お受けになる,承る,もらいます
食べる,召し上がる,いただく,食べます
食べる,召し上がる,頂戴する,食べます
食べる,あがる,いただく,食べます
食べる,あがる,頂戴する,食べます
死ぬ,お亡くなりになる,亡くなる,死にます
気に入る,お気に召す,―,気に入ります
着る,召す,―,着ます
確認する,改める,―,確認します
会う,お会いになる,お目にかかる,会います
会う,お会いになる,お目もじする,会います
借りる,―,拝借する,借ります
借りる,―,お借りします,借ります
承諾する,―,かしこまる,承諾します
呼び出して,―,お呼び立ていたしまして,呼び出しまして
座る,お掛けになる, 座らせていただく,座ります
座る,お掛けになる, お座りする,座ります
伝える,お伝えになる,申し伝える,伝えます
わかる,お分かりになる,かしこまる,わかりました
わかる,お分かりになる,承知する,わかりました
わかる,ご理解いただく,かしこまる,わかりました
わかる,ご理解いただく,承知する,わかりました
読む,お読みになる,拝読する,読みます
与える,くださる,差し上げる,あげます
与える,お与えになる,差し上げる,あげます
受け取る,お受け取りになる,賜る,受けとります
受け取る,お受け取りになる,頂戴する,受けとります
受け取る,お受け取りになる,拝受する,受けとります
利用する,ご利用になる,利用させていただく,利用します
買う,お買いになる,買わせていただく,買います
買う,お求めになる,買わせていただく,買います
考える,お考えになる,拝察する、検討いたします,考えます
考える,ご高察なさる,拝察する、検討いたします,考えます
待つ,お待ちくださる,お待ちする,待ちます
待つ,お待ちになる,お待ちする,待ちます
帰る,お帰りになる,おいとまする,帰ります
帰る,帰られる,おいとまする,帰ります
飲む,召し上がる,いただく,飲みます
気に入る,ー,お気に召す,気に入ります
知っている,御存じだ,存じる,知っています
知っている,御存じだ,存じ上げる,知っています
知っている,御存じだ,承知している,知っています
